equity_1,equity_2,equity_3,equity_4,equity_5,public_service_cut_1,public_service_cut_2,public_service_cut_3,public_service_cut_4
0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0
